title,description,date,video,link
Lecture 23,Views and Functions,"Mon, Nov 25",https://www.youtube.com/watch?v=zt17vxyxHu0,/Website_Backup/class_files/data351/Slides/slides/Ch15.html
Lecture 22,Webscraping and APIs,"Mon, Nov 18",https://www.youtube.com/watch?v=7cBRGaKG7Lc,/Website_Backup/class_files/data351/Slides/slides/Ch_Webscraping.html
Lecture 21,Shapefiles,"Wed, Nov 13",https://www.youtube.com/watch?v=zKrFl9OZTqc,/Website_Backup/class_files/data351/Slides/slides/Ch14_2.html
Lecture 20,GIS Types,"Mon, Nov 11",https://www.youtube.com/watch?v=lAd4C1rKhUo,/Website_Backup/class_files/data351/Slides/slides/Ch14.html
Lecture 19,Text Mining,"Wed, Nov 6",https://www.youtube.com/watch?v=6nb38XpTWps,/Website_Backup/class_files/data351/Slides/slides/Ch13_2.html
Lecture 18,Regular Expressions,"Mon, Nov 4",https://www.youtube.com/watch?v=yIZrfv6lfPM,/Website_Backup/class_files/data351/Slides/slides/Ch13.html
Lecture 17,Pivot Tables,"Mon, Oct 28",https://www.youtube.com/watch?v=4Rm3ICwpdVM,/Website_Backup/class_files/data351/Slides/slides/Ch12_2.html
Lecture 16,Subqueries,"Wed, Oct 23",https://www.youtube.com/watch?v=nOhmFV7YVB8,/Website_Backup/class_files/data351/Slides/slides/Ch12.html
Lecture 15,Window Functions,"Mon, Oct 21",https://www.youtube.com/watch?v=udnNAlXn48Y,/Website_Backup/class_files/data351/Slides/slides/Ch_WindowFunctions.html
Lecture 14,Timing,"Wed, Oct 16",https://www.youtube.com/watch?v=vubRnE7TrYk,/Website_Backup/class_files/data351/Slides/slides/Ch11.html
Lecture 13,Transactions,"Mon, Oct 14",https://www.youtube.com/watch?v=Uc6KSMc0biE,/Website_Backup/class_files/data351/Slides/slides/Ch9_2.html
Lecture 12,Data Cleaning,"Wed, Oct 9",https://www.youtube.com/watch?v=zp9jSzsCOC4,/Website_Backup/class_files/data351/Slides/slides/Ch9.html
Lecture 11,Grouping Up!,"Mon, Oct 7",https://www.youtube.com/watch?v=qOJFwOjZEpM,/Website_Backup/class_files/data351/Slides/slides/Ch8.html
Lecture 10,Examining Indexes,"Wed, Oct 2",https://www.youtube.com/watch?v=SVunmk1pN8k,/Website_Backup/class_files/data351/Slides/slides/Ch7_2.html
Lecture 9,How Constraining,"Mon, Sep 30",https://www.youtube.com/watch?v=IzzvIr-jqgc,/Website_Backup/class_files/data351/Slides/slides/Ch7.html
Lecture 8,More Complicated Joins,"Mon, Sep 23",https://www.youtube.com/watch?v=-IwA0lR4SsI,/Website_Backup/class_files/data351/Slides/slides/Ch6_2.html
Lecture 7,Basic Joins,"Wed, Sep 18",https://www.youtube.com/watch?v=bsJQVIbHD_M,/Website_Backup/class_files/data351/Slides/slides/Ch6.html
Lecture 6,Aggregates,"Mon, Sep 16",https://www.youtube.com/watch?v=BL9vrdvOJug,/Website_Backup/class_files/data351/Slides/slides/Ch5_2.html
Lecture 5,Calculations,"Wed, Sep 11",https://www.youtube.com/watch?v=pGZzFzBFEZg,/Website_Backup/class_files/data351/Slides/slides/Ch5.html
Lecture 4,Imports and Exports,"Mon, Sep 9",https://www.youtube.com/watch?v=QVDbGJwh5ko,/Website_Backup/class_files/data351/Slides/slides/Ch4.html
Lecture 3,Data Types,"Wed, Sep 4",https://www.youtube.com/watch?v=Sd-jelCUgPs,/Website_Backup/class_files/data351/Slides/slides/Ch3.html
Lecture 2,Being Selective,"Wed, Aug 28",https://www.youtube.com/watch?v=0P4kJdZgOUU,/Website_Backup/class_files/data351/Slides/slides/Ch2.html
Lecture 1,Relational Databases,"Mon, Aug 26",https://www.youtube.com/watch?v=Nc-SE-3VSE8,/Website_Backup/class_files/data351/Slides/slides/Ch1.html
