title,description,date,video,link
Lecture 38,Fun Libraries,"Wed, Dec 4",,/Website_Backup/class_files/cs151/Slides/slides/Ch_FunLastDay.html
Lecture 37,Emerging Recursion,"Mon, Dec 2",https://www.youtube.com/watch?v=p0FTPIxH1Z8,/Website_Backup/class_files/cs151/Slides/slides/Ch8_3.html
Lecture 36,Big-O Sorting,"Mon, Nov 25",https://www.youtube.com/watch?v=I0fCsx9thLI,/Website_Backup/class_files/cs151/Slides/slides/Ch8_2.html
Lecture 35,Token Searches,"Fri, Nov 22",https://www.youtube.com/watch?v=Qsczj8OP5iI,/Website_Backup/class_files/cs151/Slides/slides/Ch11_Ch8.html
Lecture 34,A Token Adventure,"Wed, Nov 20",https://www.youtube.com/watch?v=D3aBzMgB6mQ,/Website_Backup/class_files/cs151/Slides/slides/Ch12_Token_Adventure.html
Lecture 33,Adventure,"Mon, Nov 18",https://www.youtube.com/watch?v=lSCwp7P7Pu0,/Website_Backup/class_files/cs151/Slides/slides/Ch12_Adventure.html
Lecture 32,JSON and the Teaching Machine,"Fri, Nov 15",https://www.youtube.com/watch?v=7IzRBeL-j2s,/Website_Backup/class_files/cs151/Slides/slides/Ch11_1.html
Lecture 31,Sets and JSON,"Wed, Nov 13",https://www.youtube.com/watch?v=KFadwskM4sI,/Website_Backup/class_files/cs151/Slides/slides/Ch10_Sets.html
Lecture 30,Advising Enigma,"Mon, Nov 11",https://www.youtube.com/watch?v=sx5wqJtooio,/Website_Backup/class_files/cs151/Slides/slides/Ch10_Enigma.html
Lecture 29,Dictionaries,"Wed, Nov 6",https://www.youtube.com/watch?v=-EHMsCk19Xk,/Website_Backup/class_files/cs151/Slides/slides/Ch10_2.html
Lecture 28,Methods and Fireworks,"Mon, Nov 4",https://www.youtube.com/watch?v=Y7edvtXtSJk,/Website_Backup/class_files/cs151/Slides/slides/Ch10_1.html
Lecture 27,Constructing Objects,"Fri, Nov 1",https://www.youtube.com/watch?v=pWgek4aJRHY,/Website_Backup/class_files/cs151/Slides/slides/Ch9_3.html
Lecture 26,Tuple Constructors,"Wed, Oct 30",https://www.youtube.com/watch?v=tJBcHdnukzA,/Website_Backup/class_files/cs151/Slides/slides/Ch9_2.html
Lecture 25,ImageShop Records,"Mon, Oct 28",https://www.youtube.com/watch?v=Z2eumu-RY-Q,/Website_Backup/class_files/cs151/Slides/slides/Ch9_1.html
Lecture 24,ImageShop Read/Writes,"Fri, Oct 25",https://www.youtube.com/watch?v=UyCDznwzE2w,/Website_Backup/class_files/cs151/Slides/slides/Ch7_5_Imageshop.html
Lecture 23,Pixels and Reading,"Wed, Oct 23",https://www.youtube.com/watch?v=tB9lL6LOaQ0,/Website_Backup/class_files/cs151/Slides/slides/Ch7_4.html
Lecture 22,Comprehending Images,"Mon, Oct 21",https://www.youtube.com/watch?v=WmtkF7xstVY,/Website_Backup/class_files/cs151/Slides/slides/Ch7_3.html
Lecture 21,Mutability,"Fri, Oct 18",https://www.youtube.com/watch?v=BhjL0bCJaMQ,/Website_Backup/class_files/cs151/Slides/slides/Ch7_2.html
Lecture 20,Polygonal Lists,"Wed, Oct 16",https://www.youtube.com/watch?v=XlJwnlEg-cc,/Website_Backup/class_files/cs151/Slides/slides/Ch7_1.html
Lecture 19,Complex Animations and GArcs,"Mon, Oct 14",https://www.youtube.com/watch?v=fZPOYQpdzVI,/Website_Backup/class_files/cs151/Slides/slides/Ch5_5.html
Lecture 18,Getting Animated,"Wed, Oct 9",https://www.youtube.com/watch?v=GWIeiwiLUqQ,/Website_Backup/class_files/cs151/Slides/slides/Ch5_4.html
